pu+pr-b,pu pr,,Should be 0,,,,,anti-Stokes
Amp,Amp,,,,,,,
-46.19,-49.01,,2.82,,,,,
-46.2,-48.94,,2.74,,,,,
-46.15,-48.91,,2.76,,,,,
-46.01,-48.86,,2.85,,,,,
-45.95,-48.79,,2.84,,,,,
-45.87,-48.77,,2.9,,,,,
-45.83,-48.74,,2.91,,,,,
-45.77,-48.66,,2.89,,,,,
-45.8,-48.56,,2.76,,,,,
-45.68,-48.62,,2.94,,,,,
-45.67,-48.63,,2.96,,,,,
-45.69,-48.52,,2.83,,,,,
-45.6,-48.58,,2.98,,,,,
-45.66,-48.5,,2.84,,,,,
-45.61,-48.52,,2.91,,,,,
-45.66,-48.63,,2.97,,,,,
-45.72,-48.47,,2.75,,,,,
-45.66,-48.53,,2.87,,,,,
-45.65,-48.62,,2.97,,,,,
-45.72,-48.51,,2.79,,,,,
-45.78,-48.64,,2.86,,,,,
-45.86,-48.6,,2.74,,,,,
-45.84,-48.54,,2.7,,,,,
-45.95,-48.76,,2.81,,,,,
-45.96,-48.65,,2.69,,,,,
-45.96,-48.68,,2.72,,,,,
-46.09,-48.82,,2.73,,,,,
-46.22,-48.77,,2.55,,,,,
-46.26,-48.81,,2.55,,,,,
-46.35,-48.97,,2.62,,,,,
-46.39,-48.87,,2.48,,,,,
-46.47,-49.08,,2.61,,,,,
-46.65,-49.01,,2.36,,,,,
-46.59,-49.03,,2.44,,,,,
-46.88,-49.21,,2.33,,,,,
-46.87,-49.19,,2.32,,,,,
-46.98,-49.2,,2.22,,,,,
-47.13,-49.36,,2.23,,,,,
-47.15,-49.36,,2.21,,,,,
-47.3,-49.44,,2.14,,,,,
-47.41,-49.57,,2.16,,,,,
-47.54,-49.49,,1.95,,,,,
-47.61,-49.71,,2.1,,,,,
-47.71,-49.68,,1.97,,,,,
-47.85,-49.71,,1.86,,,,,
-48.02,-49.95,,1.93,,,,,
-48.12,-49.84,,1.72,,,,,
-48.2,-49.95,,1.75,,,,,
-48.31,-50.16,,1.85,,,,,
